1,32,32,32
-0.022756,-0.033829,-0.199342,-0.031641,0.114072,-0.087245,-0.120035,-0.059949,-0.023929,-0.071324,-0.311236,-0.200791,0.169322,0.061571,-0.072875,0.006099,-0.102547,-0.249531,-0.306200,-0.241263,-0.165574,-0.092542,0.019747,-0.017331,0.015439,-0.043939,-0.049961,0.040811,0.006632,-0.106870,-0.138436,0.239547,
-0.389303,-0.021471,-0.441112,-0.200090,0.076164,-0.126798,-0.209205,-0.121107,-0.041471,-0.154896,-0.507042,-0.284712,0.243145,0.110723,-0.088952,-0.080802,-0.261053,-0.448576,-0.465111,-0.374835,-0.259650,-0.088838,0.050599,-0.007462,-0.015070,0.030668,0.110705,0.116851,-0.023368,-0.181555,-0.245395,0.126465,
-0.289736,0.065294,-0.453485,-0.304716,-0.088095,-0.190076,-0.194232,-0.107335,-0.106526,-0.235903,-0.640854,-0.286884,0.429528,0.207953,-0.139471,-0.187808,-0.379492,-0.407786,-0.371909,-0.396733,-0.265842,0.021900,0.174732,0.096114,-0.004724,0.077814,0.252220,0.229013,0.030856,-0.117460,-0.180242,0.125861,
-0.339971,-0.011288,-0.292769,-0.207139,-0.117764,-0.273909,-0.192992,-0.074659,-0.108469,-0.420868,-1.324609,-0.378242,1.039191,0.369447,-0.332097,-0.215255,-0.230836,-0.195140,-0.537322,-0.557602,-0.323838,0.222094,0.508883,0.297293,0.217752,0.130007,0.203720,0.202875,0.113515,0.015479,-0.070034,0.198039,
-0.639501,-0.180769,0.033554,0.074798,0.056038,-0.236809,-0.217868,-0.076544,-0.120735,-0.474041,-1.977293,-0.787597,1.315587,0.584487,-0.325413,-0.118156,0.088635,-0.422554,-0.938153,-0.874439,-0.371147,0.156206,0.638584,0.654676,0.328789,0.569300,0.384528,0.075853,0.072559,0.205181,0.076770,0.237708,
-1.052582,-0.121050,0.338470,0.224585,0.208794,-0.051123,-0.233285,-0.087381,-0.109469,-0.323572,-1.559923,-1.384285,0.613960,0.444448,-0.010606,-0.228003,0.034062,-0.380228,-1.295542,-1.028421,-0.225839,0.174351,0.466145,0.304443,0.396551,0.699457,0.750169,0.198402,-0.104186,0.221553,0.288400,0.312948,
-1.475143,0.464842,0.618794,-0.121434,0.263158,0.213539,-0.165818,-0.233207,-0.190483,-0.297490,-0.673332,-0.903796,-0.550867,-0.060267,0.343281,-0.089759,-0.189434,-0.152090,-1.134594,-1.089953,0.056143,0.552948,0.225160,-0.037481,0.252731,0.592986,0.810640,0.494140,-0.200854,0.026091,0.419111,0.412893,
-1.670964,0.872666,0.878116,-0.149926,0.542179,0.491520,-0.165919,-0.484209,-0.488907,-0.174281,-0.260799,-0.811471,-0.988472,-0.223309,0.482015,0.043601,-0.176207,0.229217,-0.514069,-1.263722,-0.169704,0.888250,0.426420,-0.093802,0.061340,0.417618,0.457677,0.735643,0.044511,-0.251211,0.330302,0.553544,
-1.978135,1.174556,0.296423,0.208134,1.429895,0.826941,-0.251281,-0.980355,-1.277387,0.011480,0.325023,-0.720686,-0.847160,0.137718,0.802797,0.263699,-0.182315,0.235213,0.187441,-1.178236,-0.948923,0.566203,0.801935,0.217894,-0.051833,0.090640,0.388804,0.716906,0.462989,-0.399470,-0.029187,0.732322,
-2.552401,1.095078,-0.064237,0.279264,2.326522,1.248129,-0.352340,-2.052283,-2.336272,-0.092339,1.558663,-0.129890,-0.388086,0.568257,0.841631,0.514057,0.028239,0.314848,0.188631,-1.170309,-1.214850,0.064798,0.859145,0.743513,-0.038910,-0.090198,0.265767,0.658865,0.890150,-0.093003,-0.452302,0.734812,
